feedback,sentiment,nps,service_advisor_name,brand_name,branch,date,promoters,passive,detractor,category,topic
It took more than 30 mins to Drop the car off it was very busy and it was not clearly explained what the service entailed. The staff were very nice and very apologetic about the delay he mentioned he was by himself. Which is why it was so slow.,negative,5,Vivian Rodricks,Renault,RENAULT Service Mussafah,2023-01-05,0,0,1,Service Experience,Insurance/Warranty
"Without swearing, I am sure that they have left the car with them, but it is bad because they are not modifying it and they have not made anything about it. üôÇ The worst service and the worst repair.. ",negative,0,Harish Venugopalan,Nissan,NISSAN Service Airport Road,2023-01-05,0,0,1,Service Experience,Insurance/Warranty
"All thinks are good .
Many thanks to Mr.Khalil for his cooperation and services ",positive,10,Khalil Ur Rahman,Infiniti,INFINITI Service Mussafah,2023-01-06,1,0,0,Service Experience,Insurance/Warranty
All perfect so far .special thanks to Aries manalastas,positive,10,Aries Manalastas,Nissan,NISSAN Service Mussafah,2023-01-06,1,0,0,Service Experience,Insurance/Warranty
"Me. Anand was very nice and approachable, friendly and respectful. Thank you having people like him in your office",positive,9,Anandhakrishnan Nair,Nissan,NISSAN Service Airport Road,2023-01-06,1,0,0,Service Experience,Insurance/Warranty
Keep up the good work.,positive,10,Aries Manalastas,Nissan,NISSAN Service Mussafah,2023-01-06,1,0,0,Service Experience,Insurance/Warranty
"Khalil is a very respectable, understanding and cooperative person he does what he can do and more ",positive,10,Khalil Ur Rahman,Infiniti,INFINITI Service Mussafah,2023-01-06,1,0,0,Service Experience,Insurance/Warranty
Taking into account the regular maintenance prices of a car as they are exaggerated - in addition to improving the quality of car tinting because it is not at the required level.,negative,7,Muhammad Adnan Aslam,Nissan,NISSAN Service Al Ain,2023-01-06,0,1,0,Service Experience,Insurance/Warranty
"1) The person who took my call (toll free number) for service booking needs training on how to handle calls within reasonable timeframe. 
2) Cost for service (minor service ) is comparatively very high considering scope of work (AED 1800+). There are many reasons for this, but is it worth for a customer to think and comeback again to Al Masood for services eventhough there are other premium service centers around Abu Dhabi who can do same quality of services and use original parts with lesser cost (atleast 25-35% lesser ).",negative,9,Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-01-06,1,0,0,Service Experience,Insurance/Warranty
"Is cleaning the interior and exterior of the car after maintenance work free of charge?! I suggest adding a symbolic amount for thorough cleaning and possibly polishing.. Better than your free service!

The car on the last visit was not cleaned.. Or it was cleaned quickly and unsatisfactorily!

As for maintenance work... God, the world if it is done correctly and professionally.. You are the arbiter of this.

Thank you for your services",negative,6,Harish Venugopalan,Nissan,NISSAN Service Airport Road,2023-01-06,0,0,1,Service Experience,Insurance/Warranty
I don't have any feedback,negative,10,Marla Nunez,Nissan,NISSAN Service Airport Road,2023-01-06,1,0,0,Product,Shuttle Service
Appointment was easy to get and Mr.Khalil is very helpful and supportive. He expalin the work done clearly. Thank you Khalil,positive,10,Khalil Ur Rahman,Infiniti,INFINITI Service Mussafah,2023-01-07,1,0,0,Product,Shuttle Service
Everything is very good and I want to thank for barak he always helps me and all the people who works there thank you they are very good,positive,10,Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-01-07,1,0,0,Product,Shuttle Service
"Great service, cooperation, support and understanding of customers‚Äô needs 
Special thanks to Ms. Salwa",positive,10,Salwa Rboub,Infiniti,INFINITI Service Mussafah,2023-01-07,1,0,0,Product,Shuttle Service
The best service ever and I had the best service adviser Salwa; very helpful and makes things easy on the customer,positive,10,Salwa Rboub,Infiniti,INFINITI Service Mussafah,2023-01-07,1,0,0,Product,Shuttle Service
Charbel was great! Thank you. Everything was perfect.,positive,10,Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-01-07,1,0,0,Product,Shuttle Service
Extremely happy,positive,10,Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-01-07,1,0,0,Product,Shuttle Service
Special thanks for Parag service adviser,positive,9,Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-01-07,1,0,0,Product,Shuttle Service
Redesigning the customer service place in line with the Nissan name (redesigning the customer service hall with a modern character that reflects the direction of Nissan company),positive,7,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-01-07,0,1,0,Product,Shuttle Service
I'd like to thank Mr. Faisal Al Shamsi in Al Ain WS service for his excellent job,positive,10,Faisal Ali Ahmed,Nissan,NISSAN Service Al Ain,2023-01-07,1,0,0,"Service Experience,Communication","Insurance/Warranty,Speed of Service"
Charbel Was good with contact,positive,9,Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-01-07,1,0,0,"Service Experience,Communication","Insurance/Warranty,Speed of Service"
"The price is high please reduce. 
Thanks ",negative,9,Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-01-07,1,0,0,"Service Experience,Communication","Insurance/Warranty,Speed of Service"
Reduce the price,negative,7,Md Sekander,Nissan,NISSAN Service Mussafah,2023-01-07,0,1,0,"Service Experience,Communication","Insurance/Warranty,Speed of Service"
There is no flexibility for loyal customers. I just asked to interchange the tyres and I was told I need to pay extra for it as it is done only during major service. I had got new tyres from Masood only.,negative,3,Ronaldo Padernos,Nissan,NISSAN Service Airport Road,2023-01-07,0,0,1,"Service Experience,Communication","Insurance/Warranty,Speed of Service"
"Taking care of the vehicle and the cleanliness of the vehicle inside and outside
Thank you",positive,5,Aries Manalastas,Nissan,NISSAN Service Mussafah,2023-01-09,0,0,1,"Service Experience,Communication","Insurance/Warranty,Speed of Service"
I thank the employee Faisal Al Shamsi for the good reception and good treatment. I wish him success,positive,10,Faisal Ali Ahmed,Nissan,NISSAN Service Al Ain,2023-01-09,1,0,0,"Service Experience,Communication","Insurance/Warranty,Speed of Service"
Nothing Everything was great,positive,10,Faisal Ali Ahmed,Nissan,NISSAN Service Al Ain,2023-01-09,1,0,0,"Service Experience,Communication","Insurance/Warranty,Speed of Service"
"Please consider a goodwill approach with your long term Customers. 
Thank you ",positive,10,Juan Kasilag,Nissan,NISSAN Service Mussafah,2023-01-09,1,0,0,"Service Experience,Communication","Insurance/Warranty,Speed of Service"
Reducing prices. The aim is to continue maintenance work within the agency,positive,10,Faisal Ali Ahmed,Nissan,NISSAN Service Al Ain,2023-01-09,1,0,0,"Service Experience,Communication","Insurance/Warranty,Speed of Service"
"If the service will take more than one day you have to provide car to your customers 
",negative,9,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-01-09,1,0,0,"Service Experience,Communication","Insurance/Warranty,Speed of Service"
"Too slow.
I arrived and handed off the car at 9:30 for the 20kkm maintenance.
 When I arrived at 16:00, still waiting until 18:00 to get my car. 
Why took 8 hours just for a maintenance? Even though the agent told me there's some issue with the break, I believe 8 hours should be sufficient to replace anything of the break system.",negative,5,Harish Venugopalan,Nissan,NISSAN Service Airport Road,2023-01-09,0,0,1,,
"Mr. Adnan - one of the best employees in the services. The car was delivered at 10 am and I received it at 4 pm on the same day

Thank you to Al Masaood and the staff for the excellent services ",positive,10,Muhammad Adnan Aslam,Nissan,NISSAN Service Al Ain,2023-01-10,1,0,0,,
Everything is good,positive,10,Aswad Karim,Nissan,NISSAN Service Al Ain,2023-01-10,1,0,0,,
"Was very happy with the service
Suha was excellent,she was extremely helpful,kept me informed about everything abd even followed up after my car was delivered home
Well done Suha",positive,10,Suha Ali,Nissan,NISSAN Service Mussafah,2023-01-10,1,0,0,,
Sachin was great,positive,10,Sachin Kumar,Nissan,NISSAN Service Mussafah,2023-01-10,1,0,0,,
They waist my time and damage my car,negative,0,Ronaldo Padernos,Nissan,NISSAN Service Airport Road,2023-01-10,0,0,1,,
"Worst service, won‚Äôt come there again",negative,2,Sachin Kumar,Nissan,NISSAN Service Mussafah,2023-01-10,0,0,1,,
Service advisor Sachin Kumar was excellent and patient with his work and communication. Delivered vehicle before commuted timings.,positive,10,Sachin Kumar,Nissan,NISSAN Service Mussafah,2023-01-11,1,0,0,,
Sachin is a really professional agent. Great to deal with him.,positive,10,Sachin Kumar,Nissan,NISSAN Service Mussafah,2023-01-11,1,0,0,,
Time line faster,negative,10,Mohd Hassan Tareq,Nissan,NISSAN Service Mussafah,2023-01-11,1,0,0,,
"I buy the most expensive type of car. Unfortunately, I am shocked that the car is the same and has caused me embarrassment. I have ordered a replacement car. Unfortunately, I have not bought it from you. Unfortunately, I am shocked that the car is the same and has caused me embarrassment. I have been requesting a replacement car for two weeks or more. Unfortunately, the response is that there are only 4 cars and 4 cars booked. Unfortunately, I wish I didn't buy it from you. This is a very bad experience and it is not possible for Al Masaood's reputation to be ruined because of poor repair and lack of knowledge of the problem in the first place. , ",negative,0,Salwa Rboub,Infiniti,INFINITI Service Mussafah,2023-01-11,0,0,1,,
"Great job, thank you for friendly and fast service. A big high five for Indika ( mechanical team) for his great work and exploration about the car condition.",positive,10,Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-01-12,1,0,0,,
We hope the vehicle will be delivered completely clean,positive,4,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-01-12,0,0,1,,
"Thanks for the excellent performance
",positive,10,11618Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-01-12,1,0,0,,
The car came back with fresh grease on the passenger seat and carpet,positive,5,Muhammad Habib,Nissan,NISSAN Service Airport Road,2023-01-12,0,0,1,,
The prices are very high,positive,8,Mohamed Noureldin,Nissan,NISSAN Service Beda Zayed,2023-01-12,0,1,0,,
Maybe a coffee shop to ease waiting times.,positive,10,Marla Nunez,Nissan,NISSAN Service Airport Road,2023-01-12,1,0,0,,
There are no comments. Nice service. All its services are in terms of reception and car service,positive,10,Charbel Semaan,Infiniti,INFINITI Service Al Ain,2023-01-12,1,0,0,,
The service prices are high,negative,8,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-01-12,0,1,0,,
Nothing. Have more spare parts when you are aware about the problem with 6 sylinder engine of Nissan patrol,negative,9,Marla Nunez,Nissan,NISSAN Service Airport Road,2023-01-12,1,0,0,,
It will be better to send the servy after week to know the service is done properly on 1 or 2 days time is short to know,negative,10,Harish Venugopalan,Nissan,NISSAN Service Airport Road,2023-01-12,1,0,0,,
Very bad the issues were not fixed and properly explained car is still new and checking on 1000 kms wasnt done properly as car still has issues with sounds from Shock springs+ ac fan loud noise+ cooler box knocking sound very loud,negative,0,11575 Ali Musa,Nissan,NISSAN Service Mussafah,2023-01-12,0,0,1,,
"First, the prices are exaggerated compared to working outside the agency

Secondly, I was not informed of any replacement other than replacing the front areas, knowing that I did not stay in the agency for a distance of 100,000 kilometers and did not tell me anything that needed to be replaced, such as safes, blocks and other consumables

I'll replace it outside. Thank you. ",positive,3,Muhammad Habib,Nissan,NISSAN Service Airport Road,2023-01-13,0,0,1,,
Transparency,positive,0,12083 Sachin Kumar,Nissan,NISSAN Service Mussafah,2023-01-13,0,0,1,,
Greatest service,positive,10,11795 Mohamed Mohsen,Nissan,NISSAN Service Al Ain,2023-01-13,1,0,0,,
Please consider to provide discount on parts and services for your customers,negative,10,Harish Venugopalan,Nissan,NISSAN Service Airport Road,2023-01-13,1,0,0,,
"I would like to give honest feedback‚Ä¶Mr. Parag gave excellent service and support as always I have been going to him only for last many years. However please note for improvement on the part prices and service costs it is very expensive, my car is out of warranty now for last 3 - 4 years but I am getting it serviced from Nissan only, now this time cost was very high, therefore I am now evaluating going to some other reputed servicing company who would do it fraction of cost with genuine spares there are some in musaffah. In this case I would urge Nissan give me rate preference and far better cost than now so that I can come back to Nissan for my next service. If required pls talk to me, my car no. 15-35612.",negative,8,11618Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-01-13,0,1,0,,
The car was delayed almost a week for delivery,negative,3,Marla Nunez,Nissan,NISSAN Service Airport Road,2023-01-13,0,0,1,,
There was no follow up call on the completion and pick up timing. No clear explanation about the maintenance service,negative,5,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-01-13,0,0,1,,
Very nice person,positive,10,13037 Abuthahir T.S.,Nissan,NISSAN Service Mussafah,2023-01-14,1,0,0,,
"Kamal is an awesome service advisor, he‚Äôs kind and explains everything to customers. I‚Äôve been doing my services with renault since 3.5 years ago and he‚Äôs always been the one supporting thoughout the while experience. ",positive,10,Kamal Al Saber,Renault,RENAULT Service Mussafah,2023-01-14,1,0,0,,
Great service. Thanks to the person who attended and gave me the complete information.,positive,10,11270 Juan Kasilag,Nissan,NISSAN Service Mussafah,2023-01-14,1,0,0,,
Consultant Charbel is very helpful in his job. Thank you,positive,10,1916 Adnan Aslam,Nissan,NISSAN Service Al Ain,2023-01-14,1,0,0,,
Thank you and special thanks to Mr. Mohamed for the service,positive,10,Mohammed Fathi Osman,Nissan,NISSAN Service Airport Road,2023-01-14,1,0,0,,
Counter person was really supportive and professional,positive,10,12116 Aries M.,Nissan,NISSAN Service Mussafah,2023-01-14,1,0,0,,
You guys have a brilliant team of service agents especially in the front office who are patient and knowledgeable about all the customer requirements especially Mr Ronaldo,positive,10,Ronaldo Padernos,Nissan,NISSAN Service Airport Road,2023-01-14,1,0,0,,
Super happy about your service,positive,10,11465 Mahmoud Wahhab,Infiniti,INFINITI Service Mussafah,2023-01-14,1,0,0,,
"I want to mention that after service completion, when I checked the car engine at home, the outside cover was dirty with oil stain and not clean from oil and dust. I am not happy with the service and reflect that the service was done with carelessness and unprofessional way which make me think that the job was not done perfectly.
",negative,7,1947 Aswad Karim,Nissan,NISSAN Service Al Ain,2023-01-14,0,1,0,,
I am satisfied with the current services.,positive,7,11348 Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-01-16,0,1,0,,
For a small issue they gave me a report to change the whole gear box which costs more than 30K. The issue in gearbox is a common problem in Nissan Pathfinder and it works fine even with the small issue.,positive,0,Anandhakrishnan Nair,Nissan,NISSAN Service Airport Road,2023-01-16,0,0,1,,
Excellence service,positive,10,11465 Mahmoud Wahhab,Infiniti,INFINITI Service Mussafah,2023-01-16,1,0,0,,
I love the service that how they did to me. I hope this is not the last time will I experience.,negative,10,Marla Nunez,Nissan,NISSAN Service Airport Road,2023-01-16,1,0,0,,
No delay in maintenance,negative,10,13031 Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-01-16,1,0,0,,
Price should be more competitive,negative,8,Anandhakrishnan Nair,Nissan,NISSAN Service Airport Road,2023-01-16,0,1,0,,
Thank you brother Buraq for his good handling and good performance. He understands everything. May God help him and deal with customers 100%. Thank you brother Buraq,positive,10,11618Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-01-17,1,0,0,,
Good service,positive,9,Kamal Al Saber,Renault,RENAULT Service Mussafah,2023-01-17,1,0,0,,
Keep up the same excellent service,positive,10,1916 Adnan Aslam,Nissan,NISSAN Service Al Ain,2023-01-17,1,0,0,,
Keep it up,positive,10,12116 Aries M.,Nissan,NISSAN Service Mussafah,2023-01-17,1,0,0,,
"The service is 5 stars, may God reward you ",negative,10,11348 Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-01-17,1,0,0,,
"The maintenance manual is not stamped until I tell them to do so
I have faced this point since 2015 until now",negative,8,11437 Mohd Tareq,Nissan,NISSAN Service Mussafah,2023-01-17,0,1,0,,
You don‚Äôt fix my car and i pay 350 already !,negative,0,13031 Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-01-17,0,0,1,,
"Providing better services than the current one and the website does not work to book services.
I would also like to add that I have applied for a replacement car. Unfortunately, my request was not implemented or I was even informed of this, so I was forced to use a taxi ",negative,7,11465 Mahmoud Wahhab,Infiniti,INFINITI Service Mussafah,2023-01-17,0,1,0,,
"Thank you for your cooperation and always forward.
We wish you success ",positive,9,Harish Venugopalan,Nissan,NISSAN Service Airport Road,2023-01-18,1,0,0,,
More then one month I am waiting for a spare parts,negative,1,13037 Abuthahir T.S.,Nissan,NISSAN Service Mussafah,2023-01-18,0,0,1,,
"If customer is less than 4 km, then arrange for the pick up and drop off the car.",negative,10,11270 Juan Kasilag,Nissan,NISSAN Service Mussafah,2023-01-18,1,0,0,,
"Mr.habib was responsible about my first service and he done an excellent job and professionally called me and explained all procedures and the car finished at the same day. 


Thank you AlMasaood for the great service.",positive,10,Muhammad Habib,Nissan,NISSAN Service Airport Road,2023-01-19,1,0,0,,
The car wash is not properly clean...,negative,10,Ronaldo Padernos,Nissan,NISSAN Service Airport Road,2023-01-19,1,0,0,,
Adnan is an excellent service advisor,positive,10,1916 Adnan Aslam,Nissan,NISSAN Service Al Ain,2023-01-20,1,0,0,,
Thanks Mr Ronaldo very good person,positive,10,Ronaldo Padernos,Nissan,NISSAN Service Airport Road,2023-01-20,1,0,0,,
very professional,positive,10,Marla Nunez,Nissan,NISSAN Service Airport Road,2023-01-20,1,0,0,,
My feedback has been sent to Nissan Middle East,positive,5,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-01-20,0,0,1,,
Excellent job well done,positive,10,Marla Nunez,Nissan,NISSAN Service Airport Road,2023-01-21,1,0,0,,
There is no,positive,10,Mohammed Fathi Osman,Nissan,NISSAN Service Airport Road,2023-01-21,1,0,0,,
May God give you good health,positive,10,Ronaldo Padernos,Nissan,NISSAN Service Airport Road,2023-01-21,1,0,0,,
No further comments as i am very satisfied on the service.,positive,10,Anandhakrishnan Nair,Nissan,NISSAN Service Airport Road,2023-01-21,1,0,0,,
Keep the good work continuing,positive,10,11618Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-01-21,1,0,0,,
The service is good. But someone used my stereo and connected his phone. (His name is showing) i didn‚Äôt request any check to my car stereo. I don‚Äôt find this acceptable to use my car other than service and repairing,negative,8,Avtik Prakash Raje,Nissan,NISSAN Service Airport Road,2023-01-21,0,1,0,,
The service is really good. No complaints so far.,positive,10,11795 Mohamed Mohsen,Nissan,NISSAN Service Al Ain,2023-01-23,1,0,0,,
All is goog,positive,10,Kamal Al Saber,Renault,RENAULT Service Mussafah,2023-01-23,1,0,0,,
Thank you lot they finish my car quickly and when I was waiting there they take care of me üëçüèΩüëçüèΩ,positive,9,11618Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-01-23,1,0,0,,
All the services were found as extremely good. Especially from one of your executives Mr. Marshod (special thanks to him),positive,10,12127 Marshood TP,Nissan,NISSAN Service Mussafah,2023-01-23,1,0,0,,
"My feedback is negative due to the issues I faced. At the same day of picking up the car I got to know that its not maintained from the workshop and in the history its mentioned that there is things need to be changed ( battery, brakes,..). Knowing that I have the right to know the car history before paying down-payments and proceeding with the purchase order. After that, at the second day of picking the car I noticed that car windows are not working properly so I send videos to sales people and to workshop but no action until now taken. I also took my car to the workshop for 10 days and no action was taken. I used to go to my work with a taxi for 10 days and then nothing happened. This happened a month ago and until now there is no action. Also we agreed at the showroom to get a spare key and I had a signed paper on this, they then changed their worlds that no key will be provided. I used to talk to managers and lot of people to get the approvals in which I don't have to do all of that. I am really facing a bad experience with Al Masood!",negative,2,11348 Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-01-23,0,0,1,,
iam satisfied with Almasood service team and call center agents,positive,10,13037 Abuthahir T.S.,Nissan,NISSAN Service Mussafah,2023-01-24,1,0,0,,
All is great,positive,10,1947 Aswad Karim,Nissan,NISSAN Service Al Ain,2023-01-24,1,0,0,,
Parag the service advisor was more than cooperative and supportive and allnthe car issues reported was solved.,positive,10,11618Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-01-24,1,0,0,,
Very good maintenance,positive,10,1916 Adnan Aslam,Nissan,NISSAN Service Al Ain,2023-01-24,1,0,0,,
The Price of spare parts and labour .,positive,10,13037 Abuthahir T.S.,Nissan,NISSAN Service Mussafah,2023-01-24,1,0,0,,
Honesty is the success of everything. This is what your employee is unfortunately missing,positive,0,11348 Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-01-24,0,0,1,,
Thank you for your excellent services,positive,10,1947 Aswad Karim,Nissan,NISSAN Service Al Ain,2023-01-24,1,0,0,,
Improve the value of a car check and reduce fees,positive,10,Mohammed Fathi Osman,Nissan,NISSAN Service Airport Road,2023-01-24,1,0,0,,
Will be great if u will have tabby for payment,positive,10,Javad Dadkarim Amiri,Nissan,NISSAN Service Airport Road,2023-01-24,1,0,0,,
In Al Ain branch... the service is bad and no one answers calls at all,negative,5,Muhd Adnan Aslam,Renault,RENAULT Service Al Ain,2023-01-24,0,0,1,,
Improve customer style,positive,7,11808 Hany Sobhy,Nissan,NISSAN Service Mussafah,2023-01-25,0,1,0,,
My customer rep is very well equipped with knowledge of car and quick repsonse of any question,positive,10,13037 Abuthahir T.S.,Nissan,NISSAN Service Mussafah,2023-01-25,1,0,0,,
"Thank you for your interest in the customer's opinion, but there is no detailed explanation of what was done in the car, but the explanation is less than a minute. Only for signature please give the customer time to explain. Thank you ",negative,7,1947 Aswad Karim,Nissan,NISSAN Service Al Ain,2023-01-25,0,1,0,,
Great service by Aswad and i was amazed how quickly the car service was done . My first time and many more to come inshAllah. Great experience,positive,10,1947 Aswad Karim,Nissan,NISSAN Service Al Ain,2023-01-26,1,0,0,,
Best service ever I had it. Very clean and professional support. Thanks.,positive,8,12083 Sachin Kumar,Nissan,NISSAN Service Mussafah,2023-01-26,0,1,0,,
To improve your performance,positive,8,11270 Juan Kasilag,Nissan,NISSAN Service Mussafah,2023-01-26,0,1,0,,
Update Al Masaood app,positive,10,Anandhakrishnan Nair,Nissan,NISSAN Service Airport Road,2023-01-26,1,0,0,,
"Try to understand the problem what customers is explaning.... Find a solution or advise, rather than tell will check next service üòá, onhad raised and oil leak spot on my left side front tire, may be shock absorber liquid leak. Dont what what its is. I alwas noticed that immediately after a wash and some drive. When i am giving the car. I explained and showed the oil stain with black spots, when they delivering the car they told no issues and car is already wash give me the key. When o went to tale the car i could sew the same oils spot and not even cleaned (car wash done as per Agent), then i came and explain to agent, he told he will call me,i told as a complain.that they had not done the check and no proper wash, explanation given by service agent is I will call you(so far i haven't got any call) we will see next time üòáüòáüòáüòá. Its like i identified, Cancer at first stage doctor is telling 
with out checking ""no problem we will send at 4th stage"" al massod was not like this my forst car in uae was from al massod in 2006ü´£ü´£ü´£",negative,0,11437 Mohd Tareq,Nissan,NISSAN Service Mussafah,2023-01-26,0,0,1,,
"When parts from the car disappear or get lost during servicing, I think it would be a minimum to replace the lost item, which did not happen even after making several requests and phone calls. So for this reason I give Nissan Musaffah branch a big fail for their service. ",negative,2,11808 Hany Sobhy,Nissan,NISSAN Service Mussafah,2023-01-26,0,0,1,,
We were glad to deal with Mr. Khalil Rahman and the Technician on this last visit which changed our view of Al Masaood service from our previous experience. However we are extremely disappointed by the quality of the parts used on our QX30. We never expected this kind of damage on a premium brand! We will report this to the mother company for further investigation.,negative,8,11348 Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-01-26,0,1,0,,
I would like to commend Mr. Charbel Semaan for a great help and smooth assistance from inquiry till finish of transaction. Very reliable and he deserve a promotion or raise. Thank you.,positive,10,13031 Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-01-27,1,0,0,,
Excellent service experience,positive,10,13031 Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-01-27,1,0,0,,
I am satisfied at all.,positive,3,13037 Abuthahir T.S.,Nissan,NISSAN Service Mussafah,2023-01-27,0,0,1,,
Pick up and drop service,positive,9,11474 Salwa Rboub,Infiniti,INFINITI Service Mussafah,2023-01-27,1,0,0,,
Keep the excellant services and honest opinion,positive,10,11348 Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-01-27,1,0,0,,
Service already improved,positive,10,Ronaldo Padernos,Nissan,NISSAN Service Airport Road,2023-01-27,1,0,0,,
